year,environment,music,politics,sport,football,science,tone/features,tone/news,tone/analysis,tone/explainers,all,tone/letters,tone/obituaries,technology/elon-musk,us-news/kamala-harris
1999,247,147,3069,2449,4818,391,1453,3642,61,0,52011,1692,997,0,0
2000,494,185,3552,2181,5537,569,1455,5283,197,0,67430,2332,1039,0,0
2001,345,373,5866,4538,5761,343,1461,6306,250,0,84445,2108,1010,0,0
2002,624,1567,5790,7085,7579,332,1689,5404,171,0,89988,2154,989,0,0
2003,802,2781,7249,8087,6855,709,2054,6120,141,0,94623,2058,1055,0,0
2004,877,3403,6563,8185,7748,938,2181,6362,121,0,97873,2090,1052,0,0
2005,984,3482,7180,8270,6885,1211,2170,6276,141,0,99940,2078,1204,0,0
2006,1508,3967,4565,8396,8688,862,2188,7531,347,0,108381,1895,1452,0,0
2007,2067,6823,4829,10105,8169,975,1065,8429,487,0,125865,2100,1376,0,0
2008,3597,7631,6189,12718,9104,1229,3595,23502,426,0,144093,2255,1363,1,0
2009,3711,6942,5577,10948,8281,961,9153,43940,454,0,122143,1261,1202,1,0
2010,2974,5934,5630,7314,8363,1313,15250,34643,562,0,108860,1626,1235,6,0
2011,3035,6625,3820,8138,8061,1821,17795,37137,1003,0,118761,2143,1220,0,0
2012,2938,6469,3796,9734,7937,1754,17600,38139,1404,0,120980,2047,1079,6,0
2013,3059,6452,3782,8907,8793,1747,18685,40900,1372,0,125594,2099,1112,9,1
2014,2993,6821,4034,8252,9952,1508,20400,43284,1594,1,123035,1994,1145,21,0
2015,3211,6673,4414,9133,8844,1513,24312,44384,2267,2,118408,2086,1084,50,6
2016,2733,5390,4788,8660,8360,1458,24659,42933,1947,45,110411,2144,1072,68,1
2017,2323,3840,4364,6323,6490,1178,21069,31248,1345,123,85330,2230,1078,68,5
2018,2478,2864,3757,5830,6497,968,19783,32787,1116,237,79835,2043,932,122,2
2019,2569,2665,5547,5758,6279,744,20067,34224,1126,347,78576,2076,870,49,105
2020,2479,2377,3036,4791,5504,645,19503,36902,1124,691,79003,1578,1291,75,142
2021,2445,1833,2358,4984,5030,605,16029,31682,940,549,67045,1344,1211,112,84
